"Node Number","Time","Power Reading","Temperature","Wind generation was in excess"
1,"2015-03-09T04:15:51.524Z",5.88,1,false
0,"2015-03-09T04:15:52.344Z",10.200000000000001,1,false
1,"2015-03-09T04:15:52.549Z",8.280000000000001,1,false
0,"2015-03-09T04:15:53.370Z",8.879999999999999,1,false
1,"2015-03-09T04:15:53.563Z",3.84,1,false
0,"2015-03-09T04:15:54.384Z",8.040000000000001,1,false
1,"2015-03-09T04:15:54.579Z",9.36,1,false
0,"2015-03-09T04:15:55.405Z",11.28,1,false
1,"2015-03-09T04:15:55.604Z",5.3999999999999995,1,false
0,"2015-03-09T04:15:56.429Z",10.200000000000001,1,false
1,"2015-03-09T04:15:56.628Z",8.040000000000001,1,false
0,"2015-03-09T04:15:57.448Z",8.879999999999999,1,false
1,"2015-03-09T04:15:57.644Z",8.040000000000001,1,false
0,"2015-03-09T04:15:58.464Z",11.28,1,false
1,"2015-03-09T04:15:58.666Z",10.68,1,false
0,"2015-03-09T04:15:59.485Z",11.76,1,false
1,"2015-03-09T04:15:59.694Z",3.84,1,false
0,"2015-03-09T04:16:00.503Z",11.28,1,false
1,"2015-03-09T04:16:00.720Z",8.280000000000001,1,false
0,"2015-03-09T04:16:01.524Z",8.879999999999999,1,false
1,"2015-03-09T04:16:01.737Z",9.12,1,false
0,"2015-03-09T04:16:02.546Z",10.200000000000001,1,false
1,"2015-03-09T04:16:02.753Z",6.96,1,false
0,"2015-03-09T04:16:03.566Z",10.200000000000001,1,false
1,"2015-03-09T04:16:03.774Z",5.3999999999999995,1,false
0,"2015-03-09T04:16:04.594Z",10.200000000000001,1,false
1,"2015-03-09T04:16:04.786Z",7.32,1,false
0,"2015-03-09T04:16:05.616Z",10.68,1,false
1,"2015-03-09T04:16:05.801Z",8.040000000000001,1,false
0,"2015-03-09T04:16:06.629Z",10.200000000000001,1,false
1,"2015-03-09T04:16:06.823Z",13.68,1,false
0,"2015-03-09T04:16:07.655Z",11.28,1,false
1,"2015-03-09T04:16:07.836Z",6.96,1,false
0,"2015-03-09T04:16:08.675Z",10.200000000000001,1,false
1,"2015-03-09T04:16:08.861Z",7.32,1,false
0,"2015-03-09T04:16:09.689Z",8.879999999999999,1,false
1,"2015-03-09T04:16:09.876Z",9.96,1,false
0,"2015-03-09T04:16:10.714Z",11.76,1,false
1,"2015-03-09T04:16:10.904Z",7.68,1,false
0,"2015-03-09T04:16:11.733Z",11.76,1,false
1,"2015-03-09T04:16:11.932Z",6.6,1,false
0,"2015-03-09T04:16:12.746Z",9.36,1,false
1,"2015-03-09T04:16:12.953Z",12.120000000000001,1,false
0,"2015-03-09T04:16:13.758Z",8.879999999999999,1,false
1,"2015-03-09T04:16:13.967Z",12.120000000000001,1,false
0,"2015-03-09T04:16:14.785Z",8.879999999999999,1,false
1,"2015-03-09T04:16:14.989Z",4.92,1,false
0,"2015-03-09T04:16:15.811Z",10.200000000000001,1,false
1,"2015-03-09T04:16:16.003Z",8.639999999999999,1,false
0,"2015-03-09T04:16:16.831Z",8.879999999999999,1,false
1,"2015-03-09T04:16:17.022Z",12.120000000000001,1,false
0,"2015-03-09T04:16:17.850Z",11.28,1,false
1,"2015-03-09T04:16:18.040Z",10.200000000000001,1,false
0,"2015-03-09T04:16:18.872Z",11.28,1,false
1,"2015-03-09T04:16:19.062Z",4.92,1,false
0,"2015-03-09T04:16:19.887Z",8.879999999999999,1,false
1,"2015-03-09T04:16:20.086Z",6.96,1,false
0,"2015-03-09T04:16:20.903Z",8.879999999999999,1,false
1,"2015-03-09T04:16:21.100Z",2.1599999999999997,1,false
0,"2015-03-09T04:16:21.925Z",10.200000000000001,1,false
1,"2015-03-09T04:16:22.126Z",3.84,1,false
0,"2015-03-09T04:16:22.941Z",11.28,1,false
1,"2015-03-09T04:16:23.148Z",8.280000000000001,1,false
0,"2015-03-09T04:16:23.960Z",9.96,1,false
1,"2015-03-09T04:16:24.163Z",2.1599999999999997,1,false
0,"2015-03-09T04:16:24.979Z",14.52,1,false
1,"2015-03-09T04:16:25.194Z",11.04,1,false
0,"2015-03-09T04:16:25.995Z",12.36,1,false
1,"2015-03-09T04:16:26.209Z",6.6,1,false
0,"2015-03-09T04:16:27.008Z",11.52,1,false
1,"2015-03-09T04:16:27.230Z",9.72,1,false
0,"2015-03-09T04:16:28.023Z",10.200000000000001,1,false
1,"2015-03-09T04:16:28.245Z",9.12,1,false
0,"2015-03-09T04:16:29.037Z",9.36,1,false
1,"2015-03-09T04:16:29.267Z",11.52,1,false
0,"2015-03-09T04:16:30.061Z",8.639999999999999,1,false
1,"2015-03-09T04:16:30.280Z",3.84,1,false
0,"2015-03-09T04:16:31.082Z",6.96,1,false
1,"2015-03-09T04:16:31.300Z",12.36,1,false
0,"2015-03-09T04:16:32.095Z",8.040000000000001,1,false
1,"2015-03-09T04:16:32.321Z",8.280000000000001,1,false
0,"2015-03-09T04:16:33.111Z",10.200000000000001,1,false
1,"2015-03-09T04:16:33.342Z",11.04,1,false
0,"2015-03-09T04:16:34.136Z",8.879999999999999,1,false
1,"2015-03-09T04:16:34.367Z",6.96,1,false
0,"2015-03-09T04:16:35.148Z",8.040000000000001,1,false
1,"2015-03-09T04:16:35.388Z",9.36,1,false
0,"2015-03-09T04:16:36.165Z",10.200000000000001,1,false
1,"2015-03-09T04:16:36.415Z",7.68,1,false
0,"2015-03-09T04:16:37.179Z",10.200000000000001,1,false
1,"2015-03-09T04:16:37.446Z",7.68,1,false
0,"2015-03-09T04:16:38.205Z",8.040000000000001,1,false
1,"2015-03-09T04:16:38.461Z",3.1199999999999997,1,false
0,"2015-03-09T04:16:39.227Z",9.36,1,false
1,"2015-03-09T04:16:39.488Z",8.639999999999999,1,false
0,"2015-03-09T04:16:40.246Z",8.879999999999999,1,false
1,"2015-03-09T04:16:40.501Z",4.92,1,false
0,"2015-03-09T04:16:41.269Z",10.200000000000001,1,false
1,"2015-03-09T04:16:41.521Z",7.68,1,false
0,"2015-03-09T04:16:42.287Z",8.040000000000001,1,false
1,"2015-03-09T04:16:42.539Z",12,1,false
0,"2015-03-09T04:16:43.304Z",10.200000000000001,1,false
1,"2015-03-09T04:16:43.560Z",13.32,1,false
0,"2015-03-09T04:16:44.326Z",7.68,1,false
1,"2015-03-09T04:16:44.574Z",11.04,1,false
0,"2015-03-09T04:16:45.344Z",9.36,1,false
1,"2015-03-09T04:16:45.599Z",3.84,1,false
0,"2015-03-09T04:16:46.367Z",11.28,1,false
1,"2015-03-09T04:16:46.614Z",5.3999999999999995,1,false
0,"2015-03-09T04:16:47.386Z",6.96,1,false
1,"2015-03-09T04:16:47.639Z",4.92,1,false
0,"2015-03-09T04:16:48.404Z",8.639999999999999,1,false
1,"2015-03-09T04:16:48.660Z",4.4399999999999995,1,false
0,"2015-03-09T04:16:49.416Z",12.36,1,false
1,"2015-03-09T04:16:49.678Z",6.96,1,false
0,"2015-03-09T04:16:50.430Z",8.040000000000001,1,false
1,"2015-03-09T04:16:50.708Z",3.1199999999999997,1,false
0,"2015-03-09T04:16:51.449Z",10.68,1,false
1,"2015-03-09T04:16:51.738Z",706.6800000000001,1,false
0,"2015-03-09T04:16:52.465Z",10.68,1,false
1,"2015-03-09T04:16:52.755Z",1022.1600000000001,1,false
0,"2015-03-09T04:16:53.488Z",9.36,1,false
1,"2015-03-09T04:16:53.773Z",1097.76,1,false
0,"2015-03-09T04:16:54.509Z",11.28,1,false
1,"2015-03-09T04:16:54.793Z",1141.2,1,false
0,"2015-03-09T04:16:55.530Z",8.639999999999999,1,false
1,"2015-03-09T04:16:55.817Z",1372.68,1,false
0,"2015-03-09T04:16:56.546Z",8.040000000000001,1,false
